id,name,price,description,image,imagetwo,category,offer,newprice,created_at,updated_at
61,BAKUMAN 08                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
62,BAKUMAN 09                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
63,BAKUMAN 10                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
64,BAKUMAN 11                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
65,BAKUMAN 12                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
66,BAKUMAN 13                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
67,BAKUMAN 14                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
68,BAKUMAN 15                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
69,BAKUMAN 16                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
70,BAKUMAN 17                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
71,BAKUMAN 18                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
72,BAKUMAN 19                                                                      ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
73,BAKUMAN 20        ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
74,BIG ORDER 01                                                                    ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
75,BIG ORDER 02                                                                    ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
76,BIG ORDER 03                                                                    ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
77,BIG ORDER 04                                                                    ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
78,BIG ORDER 05                                                                    ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
